observable_id,pauli_string,group_id,circuit_index,bits,invert
P1522,Z0 Z11,WT_TMP_G0015,0,0;11,false
P1710,Z0 Y6 Z7 Y8,WT_TMP_G0015,0,0;6;7;8,false
P0562,Y0 Y1 X4 X5,WT_TMP_G0016,0,0;1;4;5,false
P1054,X6 Z7 Z8 Y9 Y10 X11,WT_TMP_G0016,0,6;7;8;9;10;11,false
P1088,Y0 Y1 Y9 Y10,WT_TMP_G0016,0,0;1;9;10,false
P1160,X2 X3 X5 X6,WT_TMP_G0016,0,2;3;5;6,false
P1194,X3 X4 Y9 Y10,WT_TMP_G0016,0,3;4;9;10,false
P1500,X2 X4,WT_TMP_G0016,0,2;4,false
P1503,Y1 X2 X6 Z7 Z8 Y9,WT_TMP_G0016,0,1;2;6;7;8;9,false
P1566,X5 X6 Y9 Y10,WT_TMP_G0016,0,5;6;9;10,false
P1736,Y0 Y1 X2 X3,WT_TMP_G0016,0,0;1;2;3,false
P0298,Y0 Z1 Z2 Z3 Z4 Z5 Z6 Z7 Z8 Y10,WT_TMP_G0017,0,0;1;2;3;4;5;6;7;8;10,false
P0367,Y0 Z1 Z2 Z3 Z4 Z5 Z6 Z7 Z8 Z9 Y10,WT_TMP_G0017,0,0;1;2;3;4;5;6;7;8;9;10,false
P0744,Y0 Z1 Z2 Z3 Z4 Z6 Z7 Z8 Z9 Y10,WT_TMP_G0017,0,0;1;2;3;4;6;7;8;9;10,false
P0839,Y0 Z1 Z2 Z3 Z5 Z6 Z7 Z8 Z9 Y10,WT_TMP_G0017,0,0;1;2;3;5;6;7;8;9;10,false
P0874,Y0 Z1 Z2 Z3 Z4 Z5 Z6 Z7 Z9 Y10,WT_TMP_G0017,0,0;1;2;3;4;5;6;7;9;10,false
P1376,Y0 Z1 Z2 Z3 Z4 Z5 Z6 Z8 Z9 Y10,WT_TMP_G0017,0,0;1;2;3;4;5;6;8;9;10,false
P1481,Y0 Z1 Z3 Z4 Z5 Z6 Z7 Z8 Z9 Y10,WT_TMP_G0017,0,0;1;3;4;5;6;7;8;9;10,false
P1486,Z3 Z8,WT_TMP_G0017,0,3;8,false
P1497,Y0 Z1 Z2 Z4 Z5 Z6 Z7 Z8 Z9 Y10,WT_TMP_G0017,0,0;1;2;4;5;6;7;8;9;10,false
P1577,Y0 Z1 Z2 Z3 Z4 Z5 Z6 Z7 Z8 Z9 Y10 Z11,WT_TMP_G0017,0,0;1;2;3;4;5;6;7;8;9;10;11,false
P1587,Y0 Z2 Z3 Z4 Z5 Z6 Z7 Z8 Z9 Y10,WT_TMP_G0017,0,0;2;3;4;5;6;7;8;9;10,false
P1621,Y0 Z1 Z2 Z3 Z4 Z5 Z7 Z8 Z9 Y10,WT_TMP_G0017,0,0;1;2;3;4;5;7;8;9;10,false
P0448,Y0 X1 X8 Z9 Z10 Y11,WT_TMP_G0018,0,0;1;8;9;10;11,false
P0658,Y3 Z4 Z5 X6 X8 Z9 Z10 Y11,WT_TMP_G0018,0,3;4;5;6;8;9;10;11,false
